"62.42.15.36","ES",-3.7859,43.4703,"AS6739 Cableuropa - ONO","mlab1-mad01",0.043469,6212498.0,,"darwin","213.200.103.147","speedtest",1391546764,1240642.6,0.047804,"e931b20e-0450-45e6-82da-cea061f37584",6739,"39","Santander",20,2,2014,1,4,"20140204"
"37.14.90.124","ES",2.4476,41.5419,"AS12715 Jazz Telecom S.A.","mlab1-mad01",0.097349,704093.25,,"win32","213.200.103.147","speedtest",1391547587,379758.06,0.092892,"82d99cde-4d85-47cc-b4fd-96c1da73e5ce",12715,"56","Matar�",20,2,2014,1,4,"20140204"
"80.30.66.193","ES",-0.4333,39.6833,"AS3352 TELEFONICA DE ESPANA","mlab1-mad01",5.98E-4,23467.41,,"win32","213.200.103.147","speedtest",1391548132,60601.79,0.214121,"f126dccc-72d7-44cf-9d18-7e2ca5f84cb5",3352,"60","Serra",21,2,2014,1,4,"20140204"
"80.30.66.193","ES",-0.4333,39.6833,"AS3352 TELEFONICA DE ESPANA","mlab1-mad01",4.53E-4,543076.9,,"win32","213.200.103.147","speedtest",1391549668,112859.4,0.154097,"f126dccc-72d7-44cf-9d18-7e2ca5f84cb5",3352,"60","Serra",21,2,2014,1,4,"20140204"
"62.42.15.36","ES",-3.7859,43.4703,"AS6739 Cableuropa - ONO","mlab1-mad01",0.041676,1181707.1,,"darwin","213.200.103.147","speedtest",1391555579,1237801.2,0.044138,"e931b20e-0450-45e6-82da-cea061f37584",6739,"39","Santander",23,2,2014,1,4,"20140204"
"84.79.177.246","ES",-3.699,40.4875,"AS12479 France Telecom Espana SA","mlab1-mad01",0.050029,935332.94,,"win32","213.200.103.147","speedtest",1391556623,66983.27,0.056563,"820c272b-6231-4abb-9cb1-a40fe0218b3c",12479,"29","Madrid",23,2,2014,1,4,"20140204"
"79.147.105.149","ES",-4.0,40.0,"AS3352 TELEFONICA DE ESPANA","mlab2-mad01",0.123407,883036.5,,"darwin","213.200.103.160","speedtest",1391558399,85947.32,0.121988,"304351f8-fb84-4af5-bf73-b0b1ade9cf8e",3352,"","",23,2,2014,1,4,"20140204"
"62.42.15.36","ES",-3.7859,43.4703,"AS6739 Cableuropa - ONO","mlab3-mad01",0.038849,7340661.5,,"darwin","213.200.103.173","speedtest",1391472375,1256856.5,0.043629,"e931b20e-0450-45e6-82da-cea061f37584",6739,"39","Santander",0,2,2014,1,4,"20140204"
"81.35.99.85","ES",-0.3302,39.4617,"AS3352 TELEFONICA DE ESPANA","mlab3-mad01",4.69E-4,963292.06,,"win32","213.200.103.173","speedtest",1391474116,111932.7,0.127038,"f126dccc-72d7-44cf-9d18-7e2ca5f84cb5",3352,"60","Valencia",0,2,2014,1,4,"20140204"
"62.42.15.36","ES",-3.7859,43.4703,"AS6739 Cableuropa - ONO","mlab3-mad01",0.042819,7877863.0,,"darwin","213.200.103.173","speedtest",1391482581,1246054.2,0.046335,"e931b20e-0450-45e6-82da-cea061f37584",6739,"39","Santander",2,2,2014,1,4,"20140204"
